I_CODE	A_TYPE	M_TYPE	PRODUCT_CYCLIC	RISK_GRADE	COLLECT_CURRENCY	COLLECT_DATE_BEG	COLLECT_DATE_END	BASE_SALE_AMOUNT	REDEEM_SETTLE_ACCOUNT_NAME	REP_MTR_DATE	REP_RTN_RATE	REP_BEG_DATE	START_DT
FGAA14115D	SPT_LBS	X_CNBD		2	CNY	2014-08-07	2014-08-07	100000000.000000	非凡资产管理季增利对公款	2014-11-05	0.055500	2014-08-07	2015/10/15
FSAA1601CD	SPT_LBS	X_CNBD		2	CNY	2016-01-07	2016-01-07	1000000.000000	非凡资产管理35天增利尊享款	2016-02-18	0.049500	2016-01-14	2016/1/6
FSAA16061B	SPT_LBS	X_CNBD		2	CNY	2016-02-17	2016-02-17	200000.000000	非凡资产管理35天增利高端款	2016-03-28	0.044000	2016-02-22	2016/2/16
FSFA15212A	SPT_LBS	X_CNBD		1	CNY	2015-10-22	2015-10-22	50000.000000	非凡资产管理双月保本普通款	2015-12-22	0.037500	2015-10-29	2015/10/20
FGAA16048A	SPT_LBS	X_CNBD		2	CNY	2016-02-15	2016-02-15	500000.000000	非凡资产管理35天增利对公款	2016-03-24	0.040500	2016-02-18	2016/2/19
FSAA15178B	SPT_LBS	X_CNBD		2	CNY	2015-04-13	2015-04-13	200000.000000	非凡资产管理4个月增利高端款	2015-08-20	0.053500	2015-04-16	2015/12/21
FGAA15549E	SPT_LBS	X_CNBD		2	CNY	2015-08-06	2015-08-06	100000000.000000	非凡资产管理双月增利对公款	2015-10-08	0.044000	2015-08-06	2015/10/15
FGAA15648C	SPT_LBS	X_CNBD		2	CNY	2015-11-23	2015-11-23	100000000.000000	非凡资产管理季增利对公款	2016-02-23	0.044000	2015-11-23	2015/11/26
FSAA14052D	SPT_LBS	X_CNBD	119	2	CNY	2014-02-28	2014-02-28	1000000.000000	非凡资产管理半年增利尊享款	2014-09-09	0.059500	2014-03-06	2015/10/15
FSAA15601D	SPT_LBS	X_CNBD		2	CNY	2015-12-16	2015-12-16	1000000.000000	非凡资产管理35天增利尊享款	2016-01-25	0.046000	2015-12-21	2015/12/21
FGAA15155C	SPT_LBS	X_CNBD		2	CNY	2015-03-09	2015-03-09	100000000.000000	非凡资产管理35天增利对公款	2015-04-13	0.055000	2015-03-09	2015/12/21
FSAA13207D	SPT_LBS	X_CNBD	100	2	CNY	2013-10-21	2013-10-23	1000000.000000		2013-11-28	0.050000	2013-10-24	2015/10/15
FSAA13270D	SPT_LBS	X_CNBD	108	2	CNY	2013-12-13	2013-12-13	1000000.000000	非凡资产管理半年增利尊享款	2014-06-17	0.063500	2013-12-17	2015/10/15
FSAA1541NA	SPT_LBS	X_CNBD		2	CNY	2015-05-22	2015-05-22	50000.000000	非凡资产管理季增利普通款	2015-08-28	0.055000	2015-05-28	2015/10/15
FGAA14107B	SPT_LBS	X_CNBD		2	CNY	2014-07-22	2014-07-22	500000.000000	非凡资产管理季增利对公款	2014-10-27	0.051000	2014-07-25	2015/10/15
FSAA14379B	SPT_LBS	X_CNBD		2	CNY	2014-11-13	2014-11-13	200000.000000	非凡资产管理季增利高端款	2015-02-17	0.052000	2014-11-18	2015/10/15
FGAA14197B	SPT_LBS	X_CNBD		2	CNY	2014-12-30	2014-12-30	500000.000000	非凡资产管理35天增利对公款	2015-02-09	0.054000	2015-01-04	2015/12/21
FSAA1501EA	SPT_LBS	X_CNBD		2	CNY	2015-01-04	2015-01-04	50000.000000	非凡资产管理双月增利普通款	2015-03-09	0.055500	2015-01-09	2015/12/21
FSAA1509QA	SPT_LBS	X_CNBD		2	CNY	2015-01-30	2015-01-30	100000.000000	非凡资产管理4个月增利普通款	2015-06-08	0.055500	2015-02-02	2015/12/21
FSAA15387B	SPT_LBS	X_CNBD		2	CNY	2015-08-12	2015-08-12	200000.000000	非凡资产管理季增利高端款	2015-11-18	0.051000	2015-08-18	2015/10/15
FSAA1623PB	SPT_LBS	X_CNBD		2	CNY	2016-03-30	2016-03-30	100000.000000	非凡资产管理4个月增利普通款	2016-08-09	0.043500	2016-04-05	2016/3/31
