核心客户号|金融资产余额|金融资产代码|金融资产余额季日均|金融资产余额年日均|金融资产描述
1520484764|50244.66|120|32045.42|5852.61|理财
1214589151|0.20|160|0.20|0.20|贵金属
1505874520|0.00|102|0.00|3333.92|定期存款
1243774608|23767.64|114|24309.34|28965.64|消费贷款
1519306718|8605.26|130|6906.96|13009.41|基金
1507974425|60000.00|142|60000.00|60000.00|电子式储蓄国债
1100611222|10000.00|143|10000.00|2455.09|凭证式国债
1234003916|69.90|201|15.72|2.87|金融IC卡
1261770457|200707.26|121|137381.38|258163.34|TSS
1261417739|300000.00|113|300000.00|193113.77|其它个贷
1258918206|381222.26|112|384004.59|395700.63|按揭
1500193006|688.39|150|12946.71|14324.26|第三方存管
1282084205|57794.35|101|57794.35|57711.99|活期存款
1146444638|36600.00|140|36600.00|36600.00|国债
1520484764|0.00|107|54098.36|85778.44|主动型负债
1505084013|0.00|1071|0.00|68862.28|结构性理财
1512151664|300000.00|111|300000.00|288323.35|商贷通
1315106636|10000000.00|1221|10000000.00|10000000.00|PBSS代销类理财
1521536043|5000.00|170|5000.00|5000.00|保险
1101142475|113.50|190|113.50|1276.30|个人外汇实盘
1512588940|0.00|103|6967.51|1514.23|钱生钱
1097425148|10205.77|161|10205.77|10191.84|黄金T+D
1505874520|0.00|105|0.00|730.73|金积存
1511596120|300000.00|110|300000.00|291377.24|贷款
1520318054|139.94|100|9339.01|9055.47|储蓄存款
1518973983|50000.00|120|50000.00|44011.98|理财
1169582405|1.13|160|1.13|0.95|贵金属
1505231563|0.00|102|9917.88|7203.54|定期存款
1521536043|300000.00|114|300000.00|142814.37|消费贷款
1507377934|0.00|130|0.00|34139.62|基金
1320026414|50000.00|142|50000.00|20658.68|电子式储蓄国债
1261842890|10000.00|143|8360.66|1526.95|凭证式国债
1507974471|107.30|201|64.29|39.02|金融IC卡
1509496116|650045.62|121|646191.08|614731.87|TSS
1512938059|300000.00|113|300000.00|299101.80|其它个贷
1500137650|1063999.96|112|1068819.64|1089708.56|按揭
1505746115|233.89|150|348.86|952.89|第三方存管
1262158688|1823.79|101|1035.49|10055.85|活期存款
1261842890|20000.00|140|18360.66|6736.53|国债
1289470548|0.00|107|0.00|895808.38|主动型负债
1305840789|0.00|1071|0.00|55089.82|结构性理财
1511174391|500000.00|111|500000.00|500000.00|商贷通
1500033524|4000000.00|1221|4000000.00|4000000.00|PBSS代销类理财
1509866801|0.00|170|0.00|0.00|保险
1165265399|128623.07|190|17917.47|3272.35|个人外汇实盘
1521800230|59826.54|103|4903.81|2811.24|钱生钱
1257272821|10529.52|161|10529.52|4931.20|黄金T+D
1500281267|1311.72|105|2057.04|1546.51|金积存
1512581715|0.00|110|0.00|46006.58|贷款
1521074491|20006.94|100|24191.68|14098.09|储蓄存款
1508243118|200999.45|120|257820.91|309023.89|理财
1257272821|10529.52|160|10529.52|4931.20|贵金属
1508244881|0.00|102|943.67|172.35|定期存款
1521074491|100000.00|114|100000.00|48203.59|消费贷款
1511522634|7736.11|130|12306.67|10886.16|基金
1261842890|10000.00|142|10000.00|5209.58|电子式储蓄国债
1503235981|140000.00|143|140000.00|140000.00|凭证式国债
1514556964|51.20|201|34.50|21.05|金融IC卡
1505746115|0.00|121|0.00|26942.44|TSS
1263322318|400000.00|113|400000.00|184431.14|其它个贷
1092805817|379251.26|112|381042.84|388470.26|按揭
1260976881|820.93|150|59490.88|18273.43|第三方存管
1503799564|50023.79|101|11032.75|7501.44|活期存款
1511385752|100000.00|140|100000.00|33832.34|国债
1320474863|0.00|107|81147.54|36676.65|主动型负债
1271070821|0.00|1071|0.00|82634.73|结构性理财
1324235729|0.00|111|0.00|705898.20|商贷通
1518524429|0.00|1221|983606.56|910179.64|PBSS代销类理财
1516460351|50000.00|170|50000.00|50000.00|保险
1211038146|57583.35|190|57583.35|17068.09|个人外汇实盘
1313627787|0.00|103|139137.83|26004.42|钱生钱
1120090909|6.40|161|6.40|6.38|黄金T+D
1505623751|940.07|105|1115.96|449.12|金积存
1504956640|200000.00|110|200000.00|182035.93|贷款
1260976881|508118.47|100|476023.75|485856.00|储蓄存款
1228817196|0.00|120|0.00|2396.15|理财
1120090909|6.40|160|6.40|6.38|贵金属
1506079030|0.00|102|0.00|40983.93|定期存款
1220689650|510722.27|114|512069.26|519279.48|消费贷款
1261770457|0.00|130|0.00|0.00|基金
1294163210|10000.00|142|10000.00|3353.29|电子式储蓄国债
1165115454|1000.00|143|1000.00|613.77|凭证式国债
1511138649|67.60|201|67.60|47.65|金融IC卡
1272917548|0.00|121|0.00|9436.01|TSS
1500281267|0.00|113|15049.18|6077.84|其它个贷
1111822739|576000.00|112|577737.70|586688.62|按揭
1261417739|0.78|150|27885.69|12326.98|第三方存管
1521575609|158.95|101|1986.10|1032.49|活期存款
1513635365|190000.00|140|161967.21|29580.84|国债
1516391727|0.00|107|0.00|8622.75|主动型负债
1506199514|0.00|1071|0.00|440718.56|结构性理财
1512090052|1250000.00|111|1250000.00|703592.81|商贷通
1288400978|0.00|1221|0.00|505988.02|PBSS代销类理财
1279791046|2340.00|170|2340.00|2340.00|保险
1521575609|0.00|103|21772.66|5626.65|钱生钱
1257586739|0.81|161|0.81|0.81|黄金T+D
1505971705|2907.65|105|4559.76|3412.16|金积存
1224847006|0.00|110|0.00|286227.54|贷款
1505231563|9.24|100|10774.62|8631.11|储蓄存款
1502189659|252768.43|120|251743.08|245240.91|理财
1257586739|0.81|160|0.81|0.81|贵金属
1514303312|10000.00|102|13937.13|10772.95|定期存款
1500281267|0.00|114|15049.18|6077.84|消费贷款
1500033524|353257.33|130|356554.61|347884.25|基金
1294000448|70000.00|142|70000.00|66691.62|电子式储蓄国债
1325992094|18000.00|143|18000.00|18000.00|凭证式国债
1344008161|50.00|201|50.00|50.00|金融IC卡
1281633701|266460.55|121|154051.42|45283.18|TSS
