核心客户号,Y107,Y170,Y130,所属机构,性别,年龄,婚姻,学历,从属行业,理财抗风险等级,客户层级,新老客户标记,五级分类,小微客户类型,消费类资产产品,纯消费性微贷标记,纯质押贷款标记,非储投资偏好,高金融资产标记,购买大额他行理财标记,大额消费标记,信用卡高还款标记,信用卡高端消费标记,优质行业标记,高代发额客户标记,潜在高端客户标记,客户贡献度,客户活跃度,客户渠道偏好,客户金融资产偏好,Rank_107
1008519285,1,0,1,九眼桥支行,女,36.0,已婚,本科,公共管理与社会组织,积极成长型,有效户,老客户,正常类,非小微客户,,,,非储中基金偏好,,,,,,,,,较低贡献,高活跃,渠道均衡型,基债偏好型,3982
1013353916,1,0,1,科华支行,男,69.0,,,,中庸型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,高贡献,较高活跃,POS交易偏好型,资产均衡型,3607
1015487651,0,0,0,新都支行,女,38.0,,,公共管理与社会组织,稳健保守型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,高活跃,渠道均衡型,理财偏好型,4156
1017194653,0,0,0,金牛支行,男,57.0,,,,积极成长型,银卡,老客户,正常类,非小微客户,,,,,,,,,,,,,高贡献,高活跃,网银偏好型,定存偏好型,4143
1026545259,0,0,0,蜀汉支行,女,55.0,,,公共管理与社会组织,,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,较高贡献,较高活跃,网银偏好型,定存偏好型,746
1037763143,0,0,1,九眼桥支行,男,45.0,,,公共管理与社会组织,积极成长型,银卡,老客户,正常类,非小微客户,,,,非储中基金偏好,,,,,,,,,中贡献,较高活跃,POS交易偏好型,活储偏好型,1787
1040797506,0,0,0,科华支行,女,49.0,,,,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,较高活跃,手机银行偏好型,资产均衡型,1354
1045739380,0,0,0,营业部,男,41.0,,,,,有效户,新客户,正常类,小微有贷未结清客户,,,,,,,,,,,,,高贡献,高活跃,网银偏好型,贷款偏好型,4232
1047280779,0,0,0,光华支行,女,52.0,,,公共管理与社会组织,中庸型,金卡,老客户,正常类,非小微客户,,,,,,,,,,,,,高贡献,高活跃,手机银行偏好型,定存偏好型,4174
1052652917,1,0,1,青羊支行,女,38.0,未婚,本科,居民服务和其他服务业,温和成长型,钻卡,老客户,正常类,非小微客户,住房按揭,,,非储中理财偏好,高金融资产,,,信用卡高还款额,,从事优质行业,高代发额客户,潜在高端客户,高贡献,高活跃,手机银行偏好型,定存偏好型,2447
1052816550,0,0,0,营业部,女,42.0,已婚,本科,居民服务和其他服务业,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,信用卡高还款额,,,,潜在高端客户,较高贡献,高活跃,手机银行偏好型,资产均衡型,3225
1054487198,1,0,0,分行本级,女,54.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,大额消费行为,,,,,潜在高端客户,中贡献,较高活跃,网银偏好型,资产均衡型,709
1054487920,0,0,1,营业部,男,79.0,,,,积极成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,高活跃,渠道均衡型,资产均衡型,5652
1054509138,0,0,0,神仙树支行,女,53.0,,,,稳健保守型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,POS交易偏好型,资产均衡型,5289
1054781683,0,0,0,聚龙路支行,男,35.0,,,,,银卡,老客户,正常类,非小微客户,,,,,,,,,,,,,低贡献,中活跃,网银偏好型,基债偏好型,1214
