核心客户号,金融资产代码_107,金融资产代码_130,金融资产代码_170
1506469452,1.0,0.0,0.0
1522658239,1.0,0.0,0.0
1507722002,1.0,0.0,0.0
1500249728,1.0,0.0,0.0
1519192630,1.0,0.0,0.0
1525872551,1.0,0.0,0.0
1515906884,1.0,0.0,0.0
1281883943,1.0,1.0,1.0
1216050569,1.0,0.0,0.0
1206123092,1.0,0.0,0.0
1525811786,1.0,0.0,0.0
1519133410,1.0,0.0,1.0
1528024119,1.0,0.0,0.0
1223799748,0.0,0.0,0.0
1527872318,1.0,0.0,0.0
1526007443,1.0,0.0,1.0
1515230417,1.0,0.0,0.0
1500183525,1.0,0.0,0.0
1522256778,1.0,0.0,0.0
1509728601,1.0,1.0,0.0
1516057001,1.0,1.0,0.0
1514491429,1.0,0.0,0.0
1254481470,1.0,0.0,0.0
1500337781,1.0,0.0,0.0
1506345880,1.0,0.0,0.0
1527062429,1.0,1.0,0.0
1528168655,1.0,0.0,0.0
1524460334,1.0,0.0,1.0
1525601208,1.0,0.0,0.0
1506680524,1.0,0.0,0.0
1206364396,1.0,0.0,0.0
1501754010,1.0,0.0,0.0
1524762701,1.0,0.0,0.0
1523043043,1.0,0.0,0.0
1182639389,1.0,0.0,0.0
1511226694,1.0,0.0,0.0
1222029431,1.0,0.0,0.0
1520887592,1.0,0.0,0.0
1524032082,1.0,0.0,0.0
1231184647,1.0,0.0,0.0
1244434230,1.0,0.0,0.0
1178720182,1.0,1.0,1.0
1525130477,1.0,0.0,0.0
1509002008,1.0,0.0,0.0
1524113025,1.0,0.0,0.0
1305363041,1.0,0.0,0.0
1519846603,1.0,0.0,0.0
1526433151,1.0,0.0,0.0
1500506304,1.0,0.0,0.0
1501053971,1.0,0.0,0.0
1527103059,0.0,0.0,0.0
1505961268,1.0,0.0,0.0
1512299012,1.0,1.0,0.0
1221902367,1.0,0.0,0.0
1514458422,1.0,1.0,0.0
1522049708,1.0,0.0,0.0
1503583435,1.0,0.0,0.0
1519027675,1.0,0.0,0.0
1513414616,1.0,0.0,0.0
1514487912,1.0,0.0,0.0
1525226158,1.0,0.0,0.0
1525185808,1.0,0.0,0.0
1521250668,1.0,1.0,0.0
1504649412,1.0,0.0,0.0
1526732019,1.0,0.0,0.0
1519212842,1.0,0.0,0.0
1527585271,1.0,0.0,0.0
1228581537,1.0,1.0,0.0
1246228666,1.0,1.0,0.0
1247602569,1.0,0.0,0.0
1506484172,1.0,1.0,0.0
1519276174,1.0,0.0,0.0
1525983452,1.0,0.0,0.0
1506526281,0.0,0.0,0.0
1321339654,1.0,0.0,0.0
1212895415,1.0,0.0,0.0
1524144204,1.0,0.0,0.0
1505491215,1.0,0.0,0.0
1506806169,1.0,1.0,0.0
1507447505,1.0,1.0,0.0
1526114718,1.0,0.0,0.0
1527689826,1.0,0.0,0.0
1128876815,1.0,1.0,0.0
1274136995,1.0,0.0,0.0
1514046561,1.0,0.0,1.0
1519702253,1.0,1.0,0.0
1270090184,1.0,1.0,0.0
1521676551,1.0,0.0,0.0
1521303870,1.0,0.0,0.0
1095394756,1.0,1.0,0.0
1136248728,1.0,1.0,0.0
1506512598,1.0,1.0,0.0
1238665569,1.0,0.0,1.0
1527081194,1.0,0.0,0.0
1507308161,1.0,1.0,0.0
1513366550,1.0,0.0,0.0
1515703935,1.0,0.0,0.0
1505706299,1.0,0.0,0.0
1165839658,1.0,0.0,0.0
1506477531,1.0,0.0,0.0
1519837253,1.0,0.0,0.0
1160378287,1.0,0.0,0.0
1526916384,1.0,0.0,1.0
1522779381,1.0,0.0,0.0
1196455424,1.0,0.0,0.0
1507150251,1.0,0.0,0.0
1521261378,1.0,1.0,0.0
1526352986,1.0,0.0,0.0
1188363370,1.0,1.0,0.0
1505841632,1.0,0.0,0.0
1291256110,1.0,1.0,0.0
1145297212,1.0,1.0,1.0
1325840358,1.0,1.0,0.0
1226248608,1.0,1.0,0.0
1506182371,1.0,0.0,0.0
1515515387,1.0,0.0,0.0
1516214072,1.0,0.0,0.0
1505742238,1.0,0.0,0.0
1513114683,1.0,0.0,0.0
1516625843,1.0,1.0,0.0
1526899590,1.0,1.0,0.0
1505783505,1.0,0.0,0.0
1506041437,1.0,1.0,0.0
1512362662,1.0,1.0,0.0
1293418165,1.0,0.0,0.0
1302361574,1.0,0.0,0.0
1524690463,1.0,0.0,0.0
1515388125,1.0,0.0,0.0
1513028835,1.0,0.0,0.0
1506523172,1.0,1.0,0.0
1526586774,1.0,0.0,0.0
1512983546,1.0,0.0,0.0
1509660875,1.0,0.0,0.0
1526505563,1.0,0.0,0.0
1256997735,0.0,0.0,0.0
1524786185,1.0,0.0,0.0
1511594923,1.0,0.0,0.0
1526283443,1.0,0.0,0.0
1279087819,1.0,1.0,0.0
1505502505,1.0,0.0,0.0
1506041304,1.0,1.0,0.0
1521658580,1.0,0.0,0.0
1524587641,1.0,1.0,0.0
1515419015,1.0,0.0,0.0
1508541921,1.0,1.0,0.0
1526168158,1.0,0.0,0.0
1508910257,1.0,0.0,0.0
1500057205,1.0,1.0,0.0
1324713994,1.0,0.0,0.0
1273957409,1.0,0.0,0.0
1236742784,1.0,0.0,0.0
1502386258,1.0,1.0,1.0
1516420368,1.0,0.0,0.0
1500088217,1.0,1.0,0.0
1506552713,1.0,0.0,0.0
1520863958,1.0,0.0,0.0
1516095416,1.0,0.0,0.0
1290046158,1.0,0.0,0.0
1512155608,1.0,0.0,0.0
1512533334,1.0,1.0,0.0
1216109520,1.0,0.0,0.0
1329755252,1.0,0.0,0.0
1505403454,1.0,0.0,0.0
1512744791,1.0,0.0,0.0
1160735648,1.0,0.0,0.0
1523064138,1.0,0.0,0.0
1520144197,1.0,1.0,0.0
1119042423,1.0,0.0,0.0
1509937439,1.0,1.0,0.0
1509324186,1.0,1.0,0.0
1182848405,0.0,0.0,0.0
1521992881,1.0,0.0,0.0
1526749525,1.0,0.0,0.0
1510967698,1.0,1.0,0.0
1511438664,1.0,1.0,0.0
1184243702,1.0,1.0,0.0
1515076606,1.0,1.0,0.0
1509252837,1.0,1.0,0.0
1097260784,1.0,0.0,0.0
1527866009,1.0,0.0,0.0
1520404428,1.0,0.0,0.0
1317246264,1.0,1.0,0.0
1505732661,1.0,0.0,0.0
1504294173,1.0,1.0,1.0
1525903395,1.0,0.0,0.0
1500099262,1.0,1.0,0.0
1151130772,1.0,0.0,0.0
1273257270,1.0,0.0,0.0
1525732842,1.0,0.0,0.0
1507240683,1.0,1.0,0.0
1512301360,1.0,0.0,0.0
1516693366,1.0,0.0,0.0
1506580559,1.0,1.0,0.0
1524008922,1.0,0.0,0.0
1295336236,1.0,0.0,0.0
1519364628,1.0,1.0,0.0
1509230228,1.0,1.0,0.0
1288166363,1.0,0.0,0.0
1291929757,1.0,1.0,0.0
1108568638,1.0,1.0,1.0
1161027553,1.0,1.0,0.0
1500111894,1.0,1.0,0.0
1528098661,1.0,0.0,0.0
1309827086,1.0,0.0,0.0
1211461747,1.0,0.0,0.0
1195919367,1.0,0.0,0.0
1096376205,1.0,1.0,1.0
1520215494,1.0,1.0,0.0
1515703731,1.0,0.0,0.0
1236504292,1.0,0.0,0.0
1526796523,1.0,0.0,0.0
1511486634,1.0,0.0,0.0
1099963407,1.0,0.0,0.0
1526191033,1.0,1.0,1.0
1510968859,1.0,1.0,0.0
1527911497,1.0,0.0,0.0
1507237565,1.0,1.0,0.0
1520430213,1.0,0.0,0.0
1516660066,1.0,0.0,0.0
1295602903,1.0,1.0,0.0
1504357474,1.0,0.0,0.0
1200946291,1.0,0.0,0.0
1524892109,1.0,0.0,0.0
1526920412,1.0,0.0,0.0
1515965657,1.0,0.0,0.0
1500066420,1.0,0.0,0.0
1500050893,1.0,0.0,0.0
1526575573,1.0,0.0,0.0
1101088763,1.0,0.0,0.0
1268159134,0.0,0.0,0.0
1519603553,1.0,0.0,0.0
1275043301,1.0,0.0,0.0
1515082624,1.0,0.0,0.0
1502721511,1.0,0.0,0.0
1165626240,1.0,1.0,1.0
1308406129,1.0,0.0,0.0
1221123097,1.0,0.0,1.0
1524995737,1.0,0.0,0.0
1526664697,1.0,0.0,0.0
1244330305,1.0,0.0,0.0
1525227496,1.0,0.0,0.0
1521465707,1.0,0.0,1.0
1166637089,1.0,0.0,0.0
1500016363,1.0,0.0,0.0
1509543748,1.0,0.0,0.0
1520670032,1.0,0.0,0.0
1527848451,1.0,0.0,0.0
1504180436,1.0,0.0,0.0
1502666882,1.0,0.0,0.0
1526921291,0.0,0.0,0.0
1221401476,1.0,1.0,0.0
1254865489,0.0,0.0,0.0
1292617559,1.0,0.0,0.0
1514951027,1.0,0.0,0.0
1525003232,1.0,0.0,0.0
1337102935,1.0,0.0,0.0
1521039064,1.0,1.0,0.0
1148587049,0.0,0.0,0.0
1502223591,1.0,0.0,0.0
1256169650,1.0,0.0,0.0
1306576257,1.0,0.0,0.0
1516441933,1.0,1.0,0.0
1506507624,1.0,0.0,0.0
1519825792,1.0,0.0,0.0
1521812461,0.0,0.0,0.0
1527483242,0.0,0.0,0.0
1216879638,1.0,0.0,0.0
1509964643,1.0,1.0,0.0
1091282581,1.0,1.0,0.0
1526894339,1.0,0.0,0.0
1527882271,1.0,0.0,0.0
1518304115,1.0,1.0,0.0
1525713717,1.0,1.0,0.0
1509322432,1.0,0.0,0.0
1526886526,1.0,0.0,0.0
1507489066,1.0,0.0,0.0
1153013826,1.0,0.0,0.0
1149238708,1.0,1.0,1.0
1520200672,1.0,0.0,0.0
1515289851,1.0,0.0,0.0
1526250386,1.0,0.0,0.0
1518520167,1.0,0.0,0.0
1512631465,1.0,0.0,0.0
1523459792,1.0,0.0,0.0
1505928338,1.0,1.0,0.0
1506012896,1.0,0.0,0.0
1526911450,1.0,0.0,0.0
1342820227,1.0,0.0,0.0
1305884917,1.0,0.0,0.0
1263913692,1.0,0.0,0.0
1509118554,1.0,1.0,0.0
1237604720,1.0,1.0,0.0
1302417296,1.0,1.0,0.0
1526948658,1.0,0.0,0.0
1504360287,1.0,0.0,0.0
1173646402,1.0,1.0,0.0
1523252318,1.0,0.0,1.0
1516721761,1.0,0.0,0.0
1515416121,1.0,0.0,0.0
1526474013,1.0,0.0,0.0
1506722038,1.0,1.0,0.0
1264451357,1.0,1.0,0.0
1526327940,1.0,0.0,0.0
1213187864,1.0,0.0,0.0
1296744971,1.0,0.0,0.0
1503039958,1.0,0.0,0.0
1512611306,1.0,0.0,0.0
1212046301,1.0,1.0,1.0
1519716757,1.0,0.0,0.0
1505910438,1.0,0.0,0.0
1096495185,1.0,1.0,0.0
1524715907,1.0,0.0,1.0
1506543096,1.0,0.0,0.0
1509501924,1.0,0.0,0.0
1527217693,1.0,0.0,0.0
1110609012,1.0,1.0,0.0
1505434546,1.0,0.0,0.0
1327934386,1.0,0.0,0.0
1519447209,1.0,1.0,0.0
1516759863,1.0,0.0,0.0
1520378380,1.0,0.0,0.0
1509328628,1.0,0.0,0.0
1523734412,1.0,0.0,0.0
1526914245,1.0,0.0,0.0
1506231990,1.0,0.0,0.0
1100064347,1.0,1.0,0.0
1525942660,1.0,0.0,0.0
1515674547,0.0,0.0,0.0
1510426396,1.0,0.0,0.0
1526378188,1.0,0.0,0.0
1509624322,1.0,1.0,0.0
1279191331,1.0,1.0,0.0
1526492254,1.0,0.0,0.0
1524851329,1.0,0.0,0.0
1142277009,1.0,0.0,0.0
1525282926,1.0,0.0,0.0
1511294630,0.0,1.0,0.0
1517388429,1.0,1.0,0.0
1244811778,1.0,0.0,0.0
1517382817,1.0,0.0,0.0
1527115153,1.0,0.0,0.0
1176409582,1.0,0.0,0.0
1191827459,1.0,0.0,0.0
1511824476,1.0,0.0,0.0
1513413365,1.0,0.0,0.0
1516380770,1.0,1.0,0.0
1524183795,1.0,1.0,0.0
1500375436,1.0,1.0,0.0
1509832036,1.0,0.0,0.0
1515209940,1.0,0.0,0.0
1504007335,1.0,0.0,0.0
1522393243,1.0,0.0,0.0
1504163858,1.0,0.0,0.0
1510059255,1.0,0.0,0.0
1252107379,1.0,0.0,0.0
1500039953,1.0,0.0,0.0
1506782352,1.0,0.0,0.0
1526001052,1.0,0.0,0.0
1504131751,1.0,1.0,0.0
1506491942,1.0,0.0,0.0
1519863355,1.0,0.0,0.0
1527474024,1.0,0.0,0.0
1506524567,1.0,0.0,0.0
1516003324,1.0,1.0,0.0
1271910780,1.0,1.0,0.0
1516736395,1.0,1.0,0.0
1516737314,1.0,1.0,0.0
1506826821,1.0,0.0,0.0
1226283819,1.0,0.0,0.0
1526377929,1.0,0.0,0.0
1513664493,1.0,0.0,0.0
1503712957,0.0,1.0,0.0
1514873335,1.0,0.0,0.0
1515946839,1.0,1.0,0.0
1524145837,1.0,1.0,0.0
1065543134,1.0,1.0,0.0
1516240591,1.0,1.0,0.0
1257901306,1.0,0.0,0.0
1216848919,1.0,1.0,0.0
1525024847,1.0,0.0,0.0
1512482152,1.0,0.0,0.0
1514640442,1.0,0.0,1.0
1504148005,1.0,0.0,0.0
1504808969,1.0,0.0,0.0
1215089738,1.0,0.0,0.0
1526173199,1.0,1.0,0.0
1506671666,1.0,1.0,0.0
1526836617,1.0,0.0,0.0
1506471366,1.0,0.0,0.0
1505732689,1.0,1.0,0.0
1515417630,1.0,0.0,1.0
1206549105,1.0,0.0,0.0
1525306549,1.0,0.0,0.0
1522140037,1.0,0.0,0.0
1098772007,1.0,1.0,0.0
1236240388,1.0,0.0,0.0
1505527326,0.0,0.0,1.0
1519989139,1.0,0.0,0.0
1514385061,1.0,0.0,0.0
1321656566,1.0,1.0,0.0
1507386690,1.0,0.0,0.0
1253042060,1.0,0.0,0.0
1526438538,0.0,0.0,0.0
1522010728,1.0,0.0,0.0
1527995424,1.0,0.0,0.0
1527344316,1.0,0.0,0.0
1525557208,1.0,0.0,0.0
1525351108,1.0,0.0,0.0
1515573664,1.0,0.0,0.0
1526126832,1.0,0.0,0.0
1253406520,1.0,0.0,0.0
1508092893,1.0,0.0,0.0
1506381810,1.0,0.0,0.0
1520136930,1.0,0.0,0.0
1522472150,1.0,0.0,0.0
1099757185,1.0,0.0,0.0
1113584382,1.0,0.0,0.0
1510428469,1.0,0.0,0.0
1516315841,1.0,0.0,0.0
1515484567,1.0,0.0,0.0
1514478621,1.0,0.0,0.0
1514676898,1.0,1.0,1.0
1527240486,1.0,0.0,0.0
1522656618,1.0,0.0,0.0
1525479684,1.0,0.0,0.0
1527031372,1.0,0.0,0.0
1505992774,1.0,1.0,0.0
1524656009,1.0,1.0,0.0
1507886544,1.0,1.0,1.0
1505923867,1.0,0.0,0.0
1505640098,1.0,1.0,1.0
1523651084,1.0,0.0,0.0
1508931151,1.0,0.0,0.0
1163696228,1.0,0.0,0.0
1323030005,1.0,0.0,0.0
1515693417,1.0,0.0,0.0
1525793777,1.0,0.0,1.0
1103142422,1.0,0.0,0.0
1527622483,1.0,0.0,0.0
1259076099,1.0,1.0,0.0
1231572015,1.0,0.0,0.0
1510174853,1.0,0.0,0.0
1262663727,1.0,0.0,0.0
1527124641,1.0,0.0,0.0
1528130935,1.0,0.0,0.0
1500035805,1.0,1.0,0.0
1514295968,1.0,1.0,0.0
1250518435,1.0,0.0,0.0
1519546048,1.0,0.0,0.0
1526735521,1.0,0.0,0.0
1525496540,1.0,0.0,0.0
1153710194,1.0,0.0,0.0
1291146745,1.0,0.0,0.0
1520407700,1.0,0.0,0.0
1506164165,1.0,1.0,1.0
1514337275,0.0,0.0,0.0
1527276745,1.0,0.0,0.0
1509113150,1.0,1.0,0.0
1526517944,1.0,0.0,1.0
1151439803,1.0,0.0,0.0
1514979661,1.0,0.0,0.0
1506121272,1.0,0.0,0.0
1008519285,1.0,1.0,0.0
1512241086,1.0,0.0,0.0
1525645706,1.0,0.0,1.0
1500634901,0.0,0.0,0.0
1501217842,1.0,0.0,0.0
1513912535,1.0,1.0,0.0
1209675856,1.0,0.0,0.0
1152185872,1.0,0.0,0.0
1510703453,1.0,0.0,0.0
1504452816,1.0,1.0,0.0
1526840943,1.0,0.0,0.0
1266338640,1.0,1.0,1.0
1310497071,1.0,0.0,0.0
1238181897,1.0,0.0,0.0
1513717269,1.0,0.0,0.0
1520934665,1.0,0.0,0.0
1204382706,0.0,0.0,0.0
1505840188,1.0,0.0,0.0
1510308184,1.0,0.0,0.0
1303457805,1.0,0.0,0.0
1507621646,1.0,1.0,1.0
1502125438,1.0,0.0,0.0
1523198983,1.0,0.0,0.0
1506306353,1.0,1.0,0.0
1509326766,1.0,0.0,0.0
1516481949,1.0,1.0,0.0
1513145502,1.0,1.0,0.0
1502639357,1.0,1.0,0.0
1511625271,1.0,0.0,0.0
1519276510,1.0,1.0,0.0
1514073663,1.0,0.0,0.0
1512128065,1.0,0.0,0.0
1519023705,1.0,1.0,0.0
1522621625,1.0,0.0,0.0
1300962480,1.0,0.0,0.0
1206512366,1.0,0.0,0.0
1508162358,1.0,1.0,0.0
1162006815,1.0,0.0,0.0
1500237556,1.0,0.0,0.0
1125252588,1.0,0.0,0.0
1506034588,1.0,0.0,0.0
1118478330,1.0,0.0,0.0
1277069234,0.0,0.0,1.0
1522602880,1.0,0.0,1.0
1503335574,1.0,0.0,0.0
1132303212,1.0,0.0,0.0
1208524132,1.0,0.0,0.0
1502927090,1.0,0.0,0.0
1512492938,1.0,0.0,0.0
1526768776,0.0,0.0,0.0
1233224746,1.0,0.0,0.0
1195927145,1.0,0.0,0.0
1206305517,1.0,0.0,0.0
1523293046,1.0,0.0,0.0
1507009708,1.0,0.0,0.0
1287025718,1.0,1.0,0.0
1526941402,0.0,0.0,0.0
1527013613,1.0,0.0,0.0
1263337630,1.0,1.0,0.0
1521366568,1.0,0.0,0.0
1523397567,1.0,1.0,0.0
1500108181,1.0,1.0,0.0
1275612378,1.0,1.0,1.0
1509946365,1.0,0.0,0.0
1518230139,1.0,0.0,0.0
1526679271,1.0,0.0,0.0
1520493057,1.0,1.0,0.0
1515038714,1.0,1.0,1.0
1142135742,1.0,0.0,0.0
1161256055,1.0,1.0,1.0
1525420082,1.0,0.0,0.0
1508580569,1.0,0.0,0.0
1215813690,1.0,1.0,0.0
1329394309,1.0,0.0,1.0
1507838119,1.0,1.0,0.0
1516176973,1.0,0.0,1.0
1505117493,1.0,1.0,0.0
1520224141,1.0,0.0,0.0
1501849986,1.0,0.0,0.0
1501205054,1.0,0.0,0.0
1528091812,1.0,1.0,0.0
1526634323,1.0,0.0,0.0
1507988992,1.0,1.0,0.0
1511325651,1.0,0.0,0.0
1506040487,1.0,1.0,0.0
1513411340,1.0,1.0,0.0
1508520553,1.0,1.0,0.0
1508301746,1.0,1.0,0.0
1520011720,1.0,1.0,0.0
1510022832,1.0,1.0,0.0
1093014329,1.0,0.0,0.0
1508453494,1.0,1.0,0.0
1519271723,1.0,0.0,0.0
1521225066,1.0,1.0,0.0
1509665269,0.0,1.0,1.0
1215823103,1.0,0.0,0.0
1526981006,1.0,0.0,0.0
1500607026,1.0,0.0,1.0
1504828965,1.0,0.0,0.0
1511352673,1.0,1.0,0.0
1527883831,1.0,0.0,0.0
1522700464,1.0,0.0,0.0
1520252783,1.0,1.0,0.0
1515990868,1.0,0.0,0.0
1520694963,1.0,0.0,0.0
1519906454,1.0,0.0,0.0
1222051934,1.0,0.0,0.0
1104690824,1.0,0.0,0.0
1504930451,1.0,0.0,0.0
1504391151,1.0,0.0,0.0
1505932644,1.0,0.0,0.0
1160049492,1.0,0.0,0.0
1324881444,1.0,1.0,0.0
1228355592,1.0,0.0,0.0
1339648849,1.0,0.0,0.0
1522970199,1.0,1.0,1.0
1516314765,1.0,0.0,0.0
1524801954,1.0,0.0,0.0
1521627422,1.0,0.0,1.0
1524762345,1.0,0.0,0.0
1343295458,1.0,1.0,0.0
1507011485,1.0,1.0,0.0
1217315246,1.0,0.0,0.0
1514088975,1.0,1.0,0.0
1060552069,1.0,1.0,1.0
1523129900,1.0,0.0,0.0
1525357184,1.0,0.0,0.0
1521117098,1.0,1.0,0.0
1516786673,1.0,1.0,0.0
1509410049,1.0,0.0,0.0
1511352742,1.0,0.0,0.0
1313653720,1.0,0.0,0.0
1526194473,1.0,0.0,0.0
1509376945,1.0,0.0,0.0
1514872846,1.0,1.0,0.0
1524558568,1.0,0.0,0.0
1505905518,1.0,1.0,0.0
1506946873,1.0,1.0,0.0
1515611812,1.0,1.0,0.0
1519079855,1.0,0.0,0.0
1516344269,1.0,0.0,0.0
1525243887,1.0,0.0,0.0
1519752495,1.0,0.0,0.0
1190400400,1.0,0.0,0.0
1505950802,1.0,0.0,0.0
1505120388,1.0,0.0,0.0
1230915344,1.0,1.0,0.0
1506542553,1.0,0.0,1.0
1525184744,1.0,0.0,0.0
1527310481,1.0,0.0,0.0
1507435818,1.0,0.0,0.0
1511527565,1.0,1.0,0.0
1514987195,1.0,1.0,0.0
1515478496,1.0,1.0,0.0
1526740296,1.0,0.0,0.0
1240747689,1.0,1.0,1.0
1526912218,1.0,0.0,1.0
1117873659,1.0,0.0,0.0
1528026859,1.0,0.0,0.0
1211731318,1.0,0.0,0.0
1525022331,1.0,0.0,0.0
1520938823,1.0,0.0,1.0
1519109862,1.0,0.0,0.0
1506288676,1.0,1.0,0.0
