核心客户号|金融资产余额|金融资产代码|金融资产余额季日均|金融资产余额年日均|金融资产描述
1350484044|304790.14|120|303225.62|303225.62|理财
1520136930|100000.00|102|148655.50|148655.50|定期存款
1516344269|274291.71|114|276118.94|276118.94|消费贷款
1515478496|6012.30|130|28994.67|28994.67|基金
1522964374|130000.00|142|130000.00|130000.00|电子式储蓄国债
1522964374|32500.00|143|32500.00|32500.00|凭证式国债
1108568638|100.00|201|100.00|100.00|金融IC卡
1244434230|201205.48|121|184804.25|184804.25|TSS
1303457805|200000.00|113|200000.00|200000.00|其它个贷
1101423384|940000.00|112|57317.07|57317.07|按揭
1509002008|20871.56|150|11716.93|11716.93|第三方存管
1525227496|2001.88|101|2805.96|2805.96|活期存款
1525403426|103.10|202|43.53|43.53|储值卡
1520665702|22000.00|140|22000.00|22000.00|国债
1526634323|360000.00|107|342439.02|342439.02|主动型负债
1331669757|0.00|1071|17073.17|17073.17|结构性理财
1257901306|2970000.00|111|2970000.00|2970000.00|商贷通
1516057001|1000000.00|1221|1000000.00|1000000.00|PBSS代销类理财
1526171249|70000.00|170|70000.00|70000.00|保险
1212046301|1115.53|190|1115.53|1115.53|个人外汇实盘
1520136930|0.00|103|20606.72|20606.72|钱生钱
1515478496|6012.30|131|28994.67|28994.67|一般基金
1526662954|51210.88|105|16248.90|16248.90|金积存
1516344269|274291.71|110|276118.94|276118.94|贷款
1525227496|390002.32|100|185640.54|185640.54|储蓄存款
1520136930|50029.79|120|3659.63|3659.63|理财
1527866009|160000.00|102|93415.87|93415.87|定期存款
1065543134|243339.93|114|245175.60|245175.60|消费贷款
1508133993|238532.04|130|231164.98|231164.98|基金
1270090184|100000.00|142|100000.00|100000.00|电子式储蓄国债
1206549105|100000.00|143|15853.66|15853.66|凭证式国债
1500035805|97.60|201|68.94|68.94|金融IC卡
1508133993|0.00|121|4878.26|4878.26|TSS
1518481139|0.00|113|29512.35|29512.35|其它个贷
1502117295|1335944.46|112|1342630.77|1342630.77|按揭
