核心客户号|签约日期|当前签约日期|零售签约产品代码|零售签约产品描述|签约口径说明
1263308301|2013/12/26|2015/12/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521068109|2015/5/5|2015/5/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506160208|2015/4/5|2015/4/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516824957|2015/1/9|2015/1/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1522575436|2015/7/9|2015/7/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505334462|2014/2/12|2014/2/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1217397323|2015/5/19|2015/5/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1523931493|2015/9/18|2015/9/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515024004|2015/2/12|2015/2/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504518355|2014/8/11|2014/8/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1523103493|2015/7/22|2015/7/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1237519905|2012/1/13|2012/1/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504898247|2015/10/19|2015/10/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1203900295|2011/4/12|2013/7/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1153555195|2012/2/1|2016/2/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510618640|2014/6/23|2014/6/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512638594|2014/8/28|2014/8/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516399434|2014/12/24|2014/12/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506921799|2014/8/7|2014/8/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1290564915|2014/4/22|2015/3/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1320796647|2012/7/26|2012/7/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1522173448|2015/6/12|2015/6/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1139283756|2014/4/16|2014/4/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1159560604|2015/9/23|2016/2/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505990260|2014/1/2|2014/11/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1311820222|2012/5/17|2014/6/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1237194368|2012/9/25|2014/2/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1250864469|2011/7/13|2012/10/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1192095805|2013/12/13|2014/9/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1293733987|2012/1/6|2012/12/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1168243355|2013/1/14|2013/1/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513115909|2014/9/15|2016/2/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1316411453|2013/6/20|2016/2/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511607882|2014/7/24|2014/7/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506029805|2015/3/3|2015/3/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1517889381|2016/1/11|2016/1/11|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1238554940|2011/12/19|2011/12/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512628405|2014/8/27|2014/8/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1147438047|2011/4/12|2013/3/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1290554801|2012/5/15|2012/5/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1142709752|2012/8/10|2016/1/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512896620|2015/2/11|2015/2/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1057320544|2014/11/11|2014/11/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511361127|2014/11/4|2014/11/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1215034626|2012/8/17|2012/11/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1216402542|2015/5/11|2015/5/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1153417715|2016/1/7|2016/1/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1518502955|2015/12/3|2015/12/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1112802042|2012/11/23|2012/11/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504707853|2013/11/18|2013/11/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1092452606|2014/2/19|2014/2/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516006487|2016/3/16|2016/3/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1319987616|2012/7/16|2015/6/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511195016|2014/7/5|2014/7/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507182224|2014/3/7|2015/5/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504982381|2013/11/26|2015/10/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1195658176|2012/10/1|2012/10/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
