核心客户号|金融资产余额|金融资产代码|金融资产余额季日均|金融资产余额年日均|金融资产描述
1252541123|50486.16|120|48404.92|48404.92|理财
1199113504|0.17|160|0.17|0.17|贵金属
1316018296|50000.00|102|50000.00|50000.00|定期存款
1163219121|1910256.36|114|1920184.45|1920184.45|消费贷款
1506505102|47740.46|130|45476.26|45476.26|基金
1519385456|180000.00|142|180000.00|180000.00|电子式储蓄国债
1519385456|340000.00|143|255853.66|255853.66|凭证式国债
1505709443|25.30|201|37.49|37.49|金融IC卡
1509723807|100388.77|121|92397.48|92397.48|TSS
1500083931|40000.00|113|61585.36|61585.36|其它个贷
1180258185|403583.91|112|407201.64|407201.64|按揭
1505588413|0.30|150|0.30|0.30|第三方存管
1104250532|9053.90|101|2796.11|2796.11|活期存款
1221931924|0.00|202|12.20|12.20|储值卡
1519385456|520000.00|140|435853.66|435853.66|国债
1238687647|0.00|107|51097.56|51097.56|主动型负债
1516394346|0.00|1071|98780.49|98780.49|结构性理财
1500631550|456430.06|111|716698.87|716698.87|商贷通
1513074446|5000000.00|1221|5000000.00|5000000.00|PBSS代销类理财
1500948345|30000.00|170|30000.00|30000.00|保险
1142709752|0.00|190|1356.96|1356.96|个人外汇实盘
1235144435|118854.44|103|18840.61|18840.61|钱生钱
1290564915|0.00|131|0.00|0.00|一般基金
1199113504|0.17|161|0.17|0.17|黄金T+D
1502340979|2.61|105|0.29|0.29|金积存
1163219121|1910256.36|110|1920184.45|1920184.45|贷款
1250521520|853126.60|100|286484.52|286484.52|储蓄存款
1235144435|0.00|120|93634.05|93634.05|理财
1142968488|77.40|160|77.33|77.33|贵金属
1504534497|2000000.00|102|2000000.00|2000000.00|定期存款
1514563776|1794000.00|114|1823871.95|1823871.95|消费贷款
1140076152|0.00|130|0.00|0.00|基金
1507392696|60000.00|143|60000.00|60000.00|凭证式国债
1506678552|0.00|121|49145.35|49145.35|TSS
1108111498|300000.00|113|300000.00|300000.00|其它个贷
1209718753|332895.05|112|333912.76|333912.76|按揭
1290564915|62540.55|150|37307.38|37307.38|第三方存管
1252541123|10021.74|101|2309.02|2309.02|活期存款
1511609297|15.40|202|20.77|20.77|储值卡
1507392696|60000.00|140|60000.00|60000.00|国债
1197619905|0.00|107|42682.93|42682.93|主动型负债
1217870360|0.00|1071|58536.59|58536.59|结构性理财
1276117109|5000000.00|111|5000000.00|5000000.00|商贷通
1516476851|1000000.00|1221|1000000.00|1000000.00|PBSS代销类理财
1519535726|50000.00|170|50000.00|50000.00|保险
1099761560|0.00|103|0.00|0.00|钱生钱
1506505102|47740.46|131|45476.26|45476.26|一般基金
1142968488|77.40|161|77.33|77.33|黄金T+D
1273375819|0.00|105|124914.91|124914.91|金积存
1514563776|1794000.00|110|1823871.95|1823871.95|贷款
1217870360|90399.46|100|207731.72|207731.72|储蓄存款
1509723807|100388.77|120|92397.48|92397.48|理财
1091801498|58599.08|102|57487.00|57487.00|定期存款
1180258185|403583.91|114|407201.64|407201.64|消费贷款
