核心客户号|签约日期|当前签约日期|零售签约产品代码|零售签约产品描述|签约口径说明
1515326716|2016/1/21|2016/1/21|10136|偏债型基金|基金产品属性代码在(3,5)中，且市值>0
1237932224|2014/1/24|2014/1/24|10107|个人存款证明|存款证明主表
1187194250|2009/7/27|2009/7/27|10112|按揭|按揭：如客户名下所有按揭贷款账户余额>0，则该客户持有按揭
1507393157|2014/3/17|2014/3/17|20220|如意宝|T03_RYBAO_ACCT中客户为有效客户，则认为是签约客户
1505489179|2015/1/14|2016/1/12|101161|民生微贷|1、贷款品种为(小微企业个人授信S101、微型个人授信贷款S104、存贷合一卡小微企业逾期垫款S103、借贷合一卡小微企业透支S10A)2、担保方式为信用3、(如果是单笔贷款，要求其发放金额小于等于50万)或者(如果是额度循环类贷款，要求其审批额度小于等于50万)4、非委托贷款,且未结清
1241420359|2011/3/7|2012/7/2|101023|一年定期存款|存款协议级汇总表（存款期限一年定期)余额>0
1142179391|2015/11/30|2015/11/30|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1237932224|2012/6/21|2012/6/21|101122|商用房按揭|A105一手商业用房按揭贷款、A106二手商业用房按揭贷款、A107一手商业用房同名转按揭贷款、A108二手商业用房同名转按揭贷款，且未结清
1501286911|2013/7/1|2015/6/27|101151|质押贷|一级担保方式，BCOLL 且未结清
1519271393|2015/2/16|2015/2/16|60112|银联借记卡【金卡】|借记卡折一本通（卡bin622622 622616 621691) 
1528004243|2016/2/18|2016/2/18|60111|银联借记卡【普卡】|借记卡折一本通（卡bin622620 900003 622622 623258 623255 622619 621692 621691 415599 622618 622617 622615)    
1187194250|2009/7/27|2009/7/27|10114|房贷标志|STAT_CLASS_CD 为 02的客户且贷款余额>0
1154464394|2015/1/9|2015/1/9|20191|贵金属实盘|零售客户金融资产代码为160,且金额>0
1279652186|2013/9/3|2013/9/3|20180|资金归集|包括网银互联授权支付签约 和 网银互联信息查询签约 ，且客户有效，则认为是签约
1262358127|2016/3/22|2016/3/22|10102C|长期定期存款|产品包括三年、四年、五年定期存款 余额>0
1527309331|2016/1/11|2016/1/11|10101|活期|活期：如客户名下所有活期存款账户余额>0，则该客户持有活期
1264664973|2012/12/21|2012/12/21|101123|车位按揭|A109一手配套车位贷款，且未结清
1282646437|2013/6/16|2013/6/16|10123|增利系列（低流通性）理财|产品编号FSAA开头 且余额大于0
1327120597|2012/12/14|2012/12/14|30102|信用卡关联还款|信用卡关联还款：持有我行信用卡的客户设置了关联还款账户，则该客户持有信用卡关联还款
1160398714|2012/1/13|2012/1/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1176057131|2015/7/16|2015/7/16|10135|私募基金|基金交易流水表（产品属性为私募 7，a，A，b）且市值>0
1282646437|2015/5/19|2016/3/22|10130|基金|基金：如客户名下所有基金市值>0，则该客户持有基金
