核心客户号|金融资产余额|金融资产代码|金融资产余额季日均|金融资产余额年日均|金融资产描述
1294235811|1054572.95|120|715005.69|715005.69|理财
1237932224|0.02|160|0.02|0.02|贵金属
1195205438|0.00|102|6097.12|6097.12|定期存款
1507496426|3120833.29|114|3155335.33|3155335.33|消费贷款
1512192487|49530.72|130|32563.54|32563.54|基金
1343829225|18500000.00|142|18500000.00|18500000.00|电子式储蓄国债
1201078336|55000.00|143|55000.00|55000.00|凭证式国债
1524004840|397.95|201|365.91|365.91|金融IC卡
1511530787|61189.81|121|72340.31|72340.31|TSS
1519730618|100000.00|113|107317.07|107317.07|其它个贷
1076254466|336666.54|112|339064.92|339064.92|按揭
1282552937|0.02|150|21.18|21.18|第三方存管
1519765472|289.01|101|1261.72|1261.72|活期存款
1301201537|200.00|202|139.02|139.02|储值卡
1108402689|32000.00|140|32000.00|32000.00|国债
1504361595|0.00|107|5121.95|5121.95|主动型负债
1302648223|0.00|1071|338292.68|338292.68|结构性理财
1273368690|700000.00|111|700000.00|700000.00|商贷通
1159121855|3000000.00|1221|3221951.22|3221951.22|PBSS代销类理财
1504338451|50000.00|170|50000.00|50000.00|保险
1500062928|0.00|103|13759.43|13759.43|钱生钱
1512192487|49530.72|131|32563.54|32563.54|一般基金
1237932224|0.02|161|0.02|0.02|黄金T+D
1195205438|888.35|105|283.79|283.79|金积存
1522146354|150000.00|110|150000.00|150000.00|贷款
1514480594|4262.82|100|52780.66|52780.66|储蓄存款
1254141549|0.00|120|28426.86|28426.86|理财
1185987700|0.58|160|0.58|0.58|贵金属
1519765472|130000.00|102|81846.01|81846.01|定期存款
1307800042|0.00|114|0.00|0.00|消费贷款
1262157663|8695.99|130|8074.81|8074.81|基金
1508208828|300000.00|142|300000.00|300000.00|电子式储蓄国债
1343829225|1000000.00|143|1000000.00|1000000.00|凭证式国债
1527314918|100.00|201|45.12|45.12|金融IC卡
1506045817|121256.55|121|116215.04|116215.04|TSS
1342412866|0.00|113|28963.41|28963.41|其它个贷
1311163665|598438.19|112|365758.43|365758.43|按揭
1120480465|1491.88|150|5084.14|5084.14|第三方存管
1163649640|6.04|101|6.04|6.04|活期存款
1519105869|0.00|202|14.63|14.63|储值卡
1201078336|55000.00|140|55000.00|55000.00|国债
1506275307|100000.00|107|100000.00|100000.00|主动型负债
1506794792|0.00|1071|341463.41|341463.41|结构性理财
1500175261|1845000.00|111|2042652.43|2042652.43|商贷通
1302648223|7000000.00|1221|7121951.22|7121951.22|PBSS代销类理财
1519196921|1000000.00|170|1000000.00|1000000.00|保险
1521094023|0.00|103|11143.85|11143.85|钱生钱
1262157663|8695.99|131|8074.81|8074.81|一般基金
1185987700|0.58|161|0.58|0.58|黄金T+D
1522176880|52.26|105|49.48|49.48|金积存
1261411847|1100000.00|110|1100000.00|1100000.00|贷款
1266162321|50023.75|100|7929.74|7929.74|储蓄存款
1506709669|100309.86|120|73077.57|73077.57|理财
1140859290|0.70|160|0.70|0.70|贵金属
1524283339|0.00|102|6074.67|6074.67|定期存款
1342412866|0.00|114|28963.41|28963.41|消费贷款
1340692484|0.00|130|0.00|0.00|基金
1520197317|200000.00|142|200000.00|200000.00|电子式储蓄国债
1261253850|60000.00|143|60000.00|60000.00|凭证式国债
1513917050|104.60|201|79.76|79.76|金融IC卡
1501556332|100011.64|121|87860.96|87860.96|TSS
1335765399|0.00|113|69512.20|69512.20|其它个贷
1264664973|558092.96|112|560134.51|560134.51|按揭
1502788197|26.15|150|26.13|26.13|第三方存管
1134182339|52191.22|101|92670.22|92670.22|活期存款
1505137865|0.00|202|59.76|59.76|储值卡
1261253850|60000.00|140|60000.00|60000.00|国债
1508928246|100000.00|107|100000.00|100000.00|主动型负债
1519105869|0.00|1071|17073.17|17073.17|结构性理财
1284392309|2350000.00|111|2350000.00|2350000.00|商贷通
1506520297|1000000.00|1221|1000000.00|1000000.00|PBSS代销类理财
1511530787|20000.00|170|20000.00|20000.00|保险
1303980760|0.00|103|0.00|0.00|钱生钱
1340692484|0.00|131|0.00|0.00|一般基金
1140859290|0.70|161|0.70|0.70|黄金T+D
1060552069|22208.80|105|21029.31|21029.31|金积存
1500175261|1845000.00|110|2042652.43|2042652.43|贷款
1522603572|20.37|100|60.77|60.77|储蓄存款
1519706913|0.00|120|8641.55|8641.55|理财
1104026192|10.22|160|10.21|10.21|贵金属
1134182339|2770.94|102|2701.06|2701.06|定期存款
1335765399|0.00|114|69512.20|69512.20|消费贷款
1524432131|35232.93|130|12596.75|12596.75|基金
1108402689|32000.00|142|32000.00|32000.00|电子式储蓄国债
1186996877|92100.00|143|83685.37|83685.37|凭证式国债
1505709777|86.60|201|84.16|84.16|金融IC卡
1511570712|2011369.86|121|2725901.10|2725901.10|TSS
1113471747|100000.00|113|100000.00|100000.00|其它个贷
1218617917|887816.95|112|585632.56|585632.56|按揭
1198572053|248.77|150|696.71|696.71|第三方存管
1527931707|315.72|101|142.42|142.42|活期存款
1503498430|0.00|202|51.22|51.22|储值卡
1343829225|19500000.00|140|19500000.00|19500000.00|国债
