核心客户号|签约日期|当前签约日期|零售签约产品代码|零售签约产品描述|签约口径说明
1500097030|2014/10/29|2014/10/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506900604|2014/2/26|2015/2/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1502509942|2015/3/25|2015/3/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516768154|2015/1/4|2015/1/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506539461|2014/2/9|2014/2/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1258380245|2012/4/24|2012/4/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521866923|2015/6/4|2015/6/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1156224749|2013/3/7|2013/3/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1212623432|2012/3/21|2012/3/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1310163569|2012/5/3|2014/7/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1163750149|2012/1/10|2012/1/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1518878635|2015/1/30|2015/1/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506166777|2014/2/25|2014/2/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506771721|2014/2/20|2014/6/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1501439526|2013/6/27|2013/6/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512098352|2014/8/9|2014/8/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1063405499|2012/2/1|2014/10/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1240358095|2014/4/4|2016/1/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1236473954|2015/10/12|2015/10/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505553208|2015/6/5|2015/6/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1324712555|2015/9/18|2015/9/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1302021700|2015/3/3|2015/3/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1260865720|2012/2/1|2012/2/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511729892|2014/8/4|2014/8/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513798613|2015/10/8|2015/10/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1509489934|2016/3/8|2016/3/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1208088055|2014/7/30|2014/7/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1234007853|2015/6/11|2015/12/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1229570935|2013/12/1|2013/12/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1255385153|2016/2/18|2016/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1317863994|2013/11/29|2015/10/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510602261|2014/6/20|2014/6/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1151412930|2012/1/9|2012/1/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513454376|2015/4/6|2015/4/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1320490520|2013/11/11|2013/12/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1517889381|2016/1/11|2016/1/11|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1304156098|2013/2/17|2013/2/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510716070|2014/12/11|2014/12/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519358187|2016/2/18|2016/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1326021861|2012/9/3|2013/11/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1097126948|2014/6/16|2014/6/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504797605|2013/11/22|2013/11/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1522660281|2015/6/28|2015/6/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1518271422|2015/12/30|2015/12/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1178258167|2015/2/11|2015/2/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1502848157|2014/8/8|2014/8/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512547279|2015/9/8|2015/9/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1503067059|2013/12/15|2013/12/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505536064|2013/12/19|2013/12/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1273257270|2012/1/18|2012/1/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507877894|2016/3/16|2016/3/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1113611100|2012/2/21|2013/3/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1194984010|2016/3/4|2016/3/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1517377394|2015/1/12|2015/1/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505906126|2013/12/30|2013/12/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519574274|2015/3/10|2015/3/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1274433197|2012/1/19|2012/1/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521216612|2016/2/18|2016/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500152205|2013/6/24|2013/6/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1234844518|2012/2/22|2012/3/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524075607|2015/9/14|2015/9/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500518280|2014/11/17|2014/11/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504544964|2013/11/11|2015/4/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1523784920|2015/8/14|2015/8/14|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1508440934|2015/8/10|2015/8/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513906667|2014/12/16|2014/12/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1142162213|2015/11/6|2015/11/6|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1506734569|2015/3/4|2015/3/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1292827810|2011/11/25|2011/11/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521305654|2015/6/17|2015/6/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511568014|2014/7/22|2014/7/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1509361593|2014/5/14|2015/3/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1251251618|2011/12/2|2012/3/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515218040|2014/11/21|2014/11/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1282986376|2012/9/28|2012/9/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520319365|2015/7/14|2015/7/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1262662521|2012/2/1|2015/9/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
