核心客户号|金融资产余额|金融资产代码|金融资产余额季日均|金融资产余额年日均|金融资产描述
1500518280|100262.19|120|78210.21|78210.21|理财
1152487967|0.68|160|0.68|0.68|贵金属
1519162920|0.00|102|3052.18|3052.18|定期存款
1521828934|150000.00|114|150000.00|150000.00|消费贷款
1500132210|359102.56|130|177663.23|177663.23|基金
1505494012|80000.00|142|80000.00|80000.00|电子式储蓄国债
1263031648|30000.00|143|30000.00|30000.00|凭证式国债
1518699330|312.00|201|154.59|154.59|金融IC卡
1521033204|392733.64|121|505986.73|505986.73|TSS
1521066867|100000.00|113|100000.00|100000.00|其它个贷
1513803402|819793.35|112|823197.26|823197.26|按揭
1217935757|72.94|150|2230.17|2230.17|第三方存管
1209578164|38738.95|101|42139.96|42139.96|活期存款
1501191415|130000.00|140|130000.00|130000.00|国债
1510082797|0.00|107|8048.78|8048.78|主动型负债
1316769857|0.00|1071|493902.44|493902.44|结构性理财
1501426475|0.00|111|0.00|0.00|商贷通
1509975912|3000000.00|1221|3000000.00|3000000.00|PBSS代销类理财
1242505212|50000.00|170|50000.00|50000.00|保险
1130257787|23735.14|190|8488.64|8488.64|个人外汇实盘
1509037474|0.00|103|0.00|0.00|钱生钱
1511787932|0.00|131|23576.23|23576.23|一般基金
1152487967|0.68|161|0.68|0.68|黄金T+D
1522954355|600.94|105|569.03|569.03|金积存
1523707640|800000.00|110|800000.00|800000.00|贷款
1502087611|160005.98|100|28125.83|28125.83|储蓄存款
1327949430|50390.14|120|47188.98|47188.98|理财
1225545431|0.03|160|0.03|0.03|贵金属
1509037474|0.00|102|0.00|0.00|定期存款
1521066867|100000.00|114|100000.00|100000.00|消费贷款
1341104510|285871.31|130|285235.10|285235.10|基金
1263031648|35000.00|142|35000.00|35000.00|电子式储蓄国债
1519358187|170000.00|143|170000.00|170000.00|凭证式国债
1518876988|100.00|201|14.63|14.63|金融IC卡
1500518280|100262.19|121|78210.21|78210.21|TSS
1516763789|681869.68|113|397239.69|397239.69|其它个贷
1514230479|468750.05|112|472205.33|472205.33|按揭
1500209189|37188.96|150|37157.20|37157.20|第三方存管
1308523166|52418.16|101|38584.87|38584.87|活期存款
1519358187|170000.00|140|170000.00|170000.00|国债
1236803518|0.00|107|40000.00|40000.00|主动型负债
1503327743|100000.00|1071|100000.00|100000.00|结构性理财
