核心客户号|签约日期|当前签约日期|零售签约产品代码|零售签约产品描述|签约口径说明
1504568603|2013/11/12|2013/11/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1509309056|2014/5/13|2014/5/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525530057|2015/10/30|2015/10/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1063609194|2015/8/10|2015/8/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1502545481|2015/9/17|2015/9/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1237745806|2011/11/29|2014/12/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1522953627|2015/7/8|2015/7/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1518775460|2015/2/9|2015/2/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521237040|2015/5/12|2015/5/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1166778841|2012/3/16|2012/11/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1501875429|2015/11/24|2015/11/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1523093383|2016/1/22|2016/1/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516605782|2015/11/20|2015/11/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525247077|2015/10/20|2015/10/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513775959|2015/12/30|2015/12/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1509541975|2014/5/22|2014/11/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1158441122|2012/3/2|2012/3/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1284553775|2012/2/22|2012/2/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1182498692|2012/2/1|2012/2/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513324185|2015/2/4|2015/2/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1345387077|2013/1/16|2013/8/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512047227|2014/8/7|2014/8/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1202680249|2013/3/3|2013/3/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1094361181|2012/4/11|2012/4/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526159177|2015/11/21|2015/11/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1203615550|2012/3/21|2015/12/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1517203925|2016/1/20|2016/1/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507279303|2014/3/10|2014/3/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512728373|2015/1/15|2015/1/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512774683|2014/9/28|2014/9/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524518372|2016/1/14|2016/1/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506744464|2014/2/19|2014/2/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1322607555|2012/8/8|2014/11/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515958971|2015/3/11|2015/3/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1091872520|2012/6/4|2012/6/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513635365|2014/9/26|2015/11/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1508608124|2014/4/21|2015/10/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1143103417|2015/12/6|2015/12/6|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1502450876|2015/11/25|2015/11/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1192284475|2012/2/1|2012/2/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527771626|2016/2/1|2016/2/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516648097|2014/12/30|2014/12/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1317052953|2013/1/19|2013/1/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1213539981|2012/2/9|2012/2/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1522640822|2015/7/6|2015/7/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526866899|2015/12/21|2015/12/21|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1527235439|2016/1/7|2016/1/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506439356|2014/1/25|2014/1/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520962795|2015/4/29|2015/4/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1502719809|2013/8/23|2013/8/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1517386408|2015/11/15|2015/11/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506994805|2014/3/1|2015/10/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1502321144|2014/9/2|2015/5/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1208974150|2013/12/31|2013/12/31|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
