核心客户号|金融资产余额|金融资产代码|金融资产余额季日均|金融资产余额年日均|金融资产描述
1518775460|92057.70|120|88148.31|88148.31|理财
1221311446|0.17|160|0.17|0.17|贵金属
1520994686|1487374.89|102|1541285.02|1541285.02|定期存款
1297039693|1500000.00|114|1500000.00|1500000.00|消费贷款
1519026493|217837.35|130|223382.21|223382.21|基金
1300117540|10000.00|142|10000.00|10000.00|电子式储蓄国债
1099731668|210000.00|143|235243.90|235243.90|凭证式国债
1051444270|44.10|201|44.10|44.10|金融IC卡
1500349802|200867.95|121|176627.66|176627.66|TSS
1297039693|1500000.00|113|1500000.00|1500000.00|其它个贷
1222008175|456237.73|112|457559.64|457559.64|按揭
1101197081|395.35|150|6197.69|6197.69|第三方存管
1509984128|10085.72|101|3247.84|3247.84|活期存款
1525259130|20.00|202|13.90|13.90|储值卡
1099731668|210000.00|140|235243.90|235243.90|国债
1526322048|0.00|107|287804.88|287804.88|主动型负债
1054782502|0.00|1071|34146.34|34146.34|结构性理财
1222810275|2810000.00|111|2810000.00|2810000.00|商贷通
1176724197|1000000.00|1221|1426829.27|1426829.27|PBSS代销类理财
1526322048|300000.00|170|300000.00|300000.00|保险
1212046301|1115.53|190|1115.53|1115.53|个人外汇实盘
1518775460|0.00|103|2260.56|2260.56|钱生钱
1523161044|42455.10|131|40819.33|40819.33|一般基金
1221311446|0.17|161|0.17|0.17|黄金T+D
1504799486|261.28|105|247.40|247.40|金积存
1297039693|1500000.00|110|1500000.00|1500000.00|贷款
1515953578|9.53|100|510.02|510.02|储蓄存款
1523161044|250145.89|120|250080.71|250080.71|理财
1109788459|2.58|160|2.58|2.58|贵金属
1523161044|1.03|102|13.65|13.65|定期存款
1121383163|0.00|114|10336.30|10336.30|消费贷款
1521251909|789408.18|130|790364.82|790364.82|基金
1099731668|268000.00|142|268000.00|268000.00|电子式储蓄国债
1099731668|132000.00|143|132000.00|132000.00|凭证式国债
1521260057|31.00|201|31.00|31.00|金融IC卡
1166778841|2946699.73|121|2795214.28|2795214.28|TSS
1121383163|0.00|113|10336.30|10336.30|其它个贷
1516002587|986804.13|112|988638.08|988638.08|按揭
1178556347|27969.58|150|1849.46|1849.46|第三方存管
1201748773|6773.25|101|8012.83|8012.83|活期存款
1506484993|10000.00|140|10000.00|10000.00|国债
1525018872|150000.00|107|150000.00|150000.00|主动型负债
1522953627|0.00|1071|61463.41|61463.41|结构性理财
1500263714|255000.00|111|243231.68|243231.68|商贷通
1186288241|3000000.00|1221|1756097.56|1756097.56|PBSS代销类理财
1166778841|60000.00|170|60000.00|60000.00|保险
1079775658|14063.62|190|9950.87|9950.87|个人外汇实盘
1520798306|0.00|103|0.00|0.00|钱生钱
1520844802|46867.92|131|46350.56|46350.56|一般基金
1109788459|2.58|161|2.58|2.58|黄金T+D
1111822739|4049.84|105|2656.21|2656.21|金积存
1222810275|0.00|110|0.00|0.00|贷款
1500115709|126.50|100|16771.14|16771.14|储蓄存款
1506952635|1000000.00|120|1374953.22|1374953.22|理财
1203624299|0.73|160|0.73|0.73|贵金属
1261342654|112.41|102|43470.70|43470.70|定期存款
1311799766|678170.27|114|680957.74|680957.74|消费贷款
1518806437|6098.56|130|6035.16|6035.16|基金
1166407529|400000.00|142|400000.00|400000.00|电子式储蓄国债
1513635365|190000.00|143|190000.00|190000.00|凭证式国债
1507862279|48.20|201|48.86|48.86|金融IC卡
1506005916|120060.16|121|235707.27|235707.27|TSS
1237745806|239000.00|113|247243.90|247243.90|其它个贷
1152325028|560152.08|112|561894.74|561894.74|按揭
1199565934|15.50|150|15.49|15.49|第三方存管
1308006223|118414.46|101|50509.13|50509.13|活期存款
1099731668|132000.00|140|132000.00|132000.00|国债
1280908044|100000.00|107|32926.83|32926.83|主动型负债
1526521111|1000000.00|1071|658536.59|658536.59|结构性理财
1502419180|2200000.00|111|2200000.00|2200000.00|商贷通
