核心客户号|签约日期|当前签约日期|零售签约产品代码|零售签约产品描述|签约口径说明
1168374265|2016/1/7|2016/1/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1292249444|2012/2/17|2012/2/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505320599|2015/1/6|2015/1/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519307439|2015/2/25|2015/2/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1508330518|2014/4/10|2014/9/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1277306898|2012/2/15|2015/5/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506070205|2014/2/9|2014/2/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1182742660|2012/2/22|2012/2/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511740292|2014/12/13|2014/12/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1111099905|2016/3/14|2016/3/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515362712|2015/2/4|2015/2/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1262402345|2013/2/5|2013/5/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505914149|2013/12/31|2013/12/31|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1191210113|2015/12/31|2015/12/31|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505551899|2013/12/16|2015/1/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1228566588|2012/2/1|2012/12/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506094967|2015/7/11|2015/7/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1508384865|2015/5/28|2015/5/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521269412|2015/5/13|2015/5/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1299010657|2012/2/2|2013/9/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500641965|2013/5/23|2013/5/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1100546094|2012/6/28|2012/6/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516817877|2015/1/6|2015/1/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1154671326|2013/10/27|2013/10/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500391130|2013/4/23|2014/11/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1105222348|2011/12/28|2016/3/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521035362|2015/7/10|2015/7/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520942494|2015/4/29|2015/4/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511135707|2014/7/7|2014/7/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500337781|2013/4/18|2013/4/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519337216|2015/2/27|2015/2/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516652016|2014/12/29|2014/12/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507148426|2014/3/6|2014/3/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520867896|2015/4/26|2015/4/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515365586|2015/11/16|2015/11/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500231589|2014/6/2|2014/6/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514297025|2014/10/21|2014/10/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520622573|2015/5/20|2015/5/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1178858783|2012/1/13|2012/1/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1160378287|2012/9/10|2015/10/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1313391106|2013/3/6|2013/3/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1133618882|2013/11/15|2013/11/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510905210|2014/6/27|2014/6/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1509060351|2014/5/9|2014/5/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1269426157|2012/4/25|2012/4/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1056001865|2015/11/6|2015/11/6|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1515769100|2015/1/12|2015/1/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506963429|2014/2/28|2014/2/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519049763|2015/2/6|2015/2/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
