核心客户号|金融资产余额|金融资产代码|金融资产余额季日均|金融资产余额年日均|金融资产描述
1507339091|520856.19|120|449128.85|449128.85|理财
1232571084|4.57|160|4.57|4.57|贵金属
1521448499|20000.00|102|20000.00|20000.00|定期存款
1521066037|0.00|114|147612.38|147612.38|消费贷款
1505551899|0.00|130|0.00|0.00|基金
1512095946|1060000.00|142|1060000.00|1060000.00|电子式储蓄国债
1159757715|31000.00|143|31000.00|31000.00|凭证式国债
1195565392|91.90|201|91.90|91.90|金融IC卡
1507339091|520856.19|121|449128.85|449128.85|TSS
1521066037|0.00|113|147612.38|147612.38|其它个贷
1516099917|470833.38|112|474441.10|474441.10|按揭
1500494021|750.56|150|4151.45|4151.45|第三方存管
1302231474|1.02|101|1.02|1.02|活期存款
1515323228|0.00|202|41.46|41.46|储值卡
1277886093|2000.00|140|2000.00|2000.00|国债
1500062928|100000.00|107|56707.32|56707.32|主动型负债
1166058875|0.00|1071|122926.83|122926.83|结构性理财
1262989214|800000.00|111|800000.00|800000.00|商贷通
1119935075|3000000.00|1221|3000000.00|3000000.00|PBSS代销类理财
1514904940|20000.00|170|20000.00|20000.00|保险
1521221374|0.00|103|0.00|0.00|钱生钱
1176369842|0.00|131|6382.47|6382.47|一般基金
1232571084|4.57|161|4.57|4.57|黄金T+D
1504392587|26.13|105|24.74|24.74|金积存
1521221374|250000.00|110|250000.00|250000.00|贷款
1110401876|27059.39|100|20198.36|20198.36|储蓄存款
1506275307|305461.92|120|397109.50|397109.50|理财
1110401876|20000.00|102|15507.55|15507.55|定期存款
1514904940|200000.00|114|200000.00|200000.00|消费贷款
1272765314|0.00|130|0.00|0.00|基金
1179283045|155000.00|142|155000.00|155000.00|电子式储蓄国债
1277886093|2000.00|143|2000.00|2000.00|凭证式国债
1237403250|0.00|121|287846.19|287846.19|TSS
1514028394|129529.25|113|141781.77|141781.77|其它个贷
1510057254|658785.09|112|660285.20|660285.20|按揭
1218682359|3.67|150|3.67|3.67|第三方存管
1521448499|187.02|101|186.89|186.89|活期存款
1512095946|1060000.00|140|1060000.00|1060000.00|国债
1251662220|250000.00|107|82317.07|82317.07|主动型负债
1506690067|0.00|1071|58536.59|58536.59|结构性理财
1208117356|500000.00|111|500000.00|500000.00|商贷通
1503607468|2000000.00|1221|2000000.00|2000000.00|PBSS代销类理财
1265516115|30000.00|170|30000.00|30000.00|保险
1506275307|103164.82|103|12512.04|12512.04|钱生钱
1251662220|0.00|131|0.00|0.00|一般基金
1277276611|26.13|105|24.74|24.74|金积存
1520695315|312044.32|110|315320.01|315320.01|贷款
1521221374|24907.57|100|23954.58|23954.58|储蓄存款
1518784751|466251.48|120|439077.51|439077.51|理财
1521221374|20000.00|102|20000.00|20000.00|定期存款
1514028394|129529.25|114|141781.77|141781.77|消费贷款
1508298088|0.00|130|0.00|0.00|基金
1103110151|35000.00|142|35000.00|35000.00|电子式储蓄国债
1301524399|200000.00|143|200000.00|200000.00|凭证式国债
1236519934|100176.71|121|153601.03|153601.03|TSS
1514011704|293000.00|113|288207.33|288207.33|其它个贷
1515129174|1557968.80|112|1568703.04|1568703.04|按揭
1510129685|1386.12|150|1384.84|1384.84|第三方存管
1256579174|41339.40|101|54155.90|54155.90|活期存款
1179283045|155000.00|140|155000.00|155000.00|国债
1518586723|50000.00|107|291463.41|291463.41|主动型负债
1506806188|0.00|1071|58536.59|58536.59|结构性理财
1232844671|0.00|111|0.00|0.00|商贷通
1199219595|0.00|1221|2268292.68|2268292.68|PBSS代销类理财
1225048102|30000.00|170|30000.00|30000.00|保险
1280452311|0.00|103|0.00|0.00|钱生钱
1512265043|0.00|131|7756.10|7756.10|一般基金
1516392247|5748.16|105|5442.88|5442.88|金积存
